ID,Weekly_Sales
1_1_2012-11-02,37777.88290000004
1_2_2012-11-02,47662.11970000003
1_3_2012-11-02,10807.949999999993
1_4_2012-11-02,39831.15939999999
1_5_2012-11-02,30310.308599999968
1_6_2012-11-02,4216.769900000003
1_7_2012-11-02,23025.9223
1_8_2012-11-02,39801.97580000001
1_9_2012-11-02,45881.45890000003
1_10_2012-11-02,31970.845800000006
1_11_2012-11-02,25621.234699999997
1_12_2012-11-02,9881.036400000006
1_13_2012-11-02,42974.34430000002
1_14_2012-11-02,13472.641699999995
1_16_2012-11-02,6180.912499999998
1_17_2012-11-02,8503.4394
1_18_2012-11-02,12509.5565
1_19_2012-11-02,1036.7461000000005
1_20_2012-11-02,3291.891000000001
1_21_2012-11-02,8197.477099999998
1_22_2012-11-02,7771.327400000006
1_23_2012-11-02,23152.366799999993
1_24_2012-11-02,6949.934799999995
1_25_2012-11-02,10615.421499999995
1_26_2012-11-02,7775.990100000003
1_27_2012-11-02,1893.2797000000012
1_28_2012-11-02,772.6389999999999
1_29_2012-11-02,4996.427999999994
1_30_2012-11-02,2495.5026000000003
1_31_2012-11-02,1792.9550999999994
1_32_2012-11-02,6494.569499999999
1_33_2012-11-02,6643.808099999995
1_34_2012-11-02,11703.773900000007
1_35_2012-11-02,2542.3853999999983
1_36_2012-11-02,1887.1400999999992
1_37_2012-11-02,2862.1211999999987
1_38_2012-11-02,93084.11089999993
1_40_2012-11-02,62428.46310000001
1_41_2012-11-02,1323.0244
1_42_2012-11-02,8052.617899999991
1_44_2012-11-02,5708.531699999996
1_46_2012-11-02,18993.9901
1_48_2012-11-02,2169.8498
1_49_2012-11-02,10136.951199999996
1_52_2012-11-02,2137.5505999999996
1_55_2012-11-02,11358.693099999999
1_56_2012-11-02,977.6216000000006
1_58_2012-11-02,3423.22
1_59_2012-11-02,432.3733999999997
1_60_2012-11-02,1264.9920000000004
1_67_2012-11-02,6324.367100000003
1_71_2012-11-02,2469.7877000000003
1_72_2012-11-02,54562.51670000001
1_74_2012-11-02,9656.345999999998
1_79_2012-11-02,43844.19249999998
1_80_2012-11-02,18995.55549999999
1_81_2012-11-02,30779.24269999999
1_82_2012-11-02,20251.24030000001
1_83_2012-11-02,5660.138499999997
1_85_2012-11-02,3208.6848999999993
1_87_2012-11-02,60120.54749999998
1_90_2012-11-02,90042.21460000005
1_91_2012-11-02,63585.78440000004
1_92_2012-11-02,148268.31960000008
1_93_2012-11-02,74676.7463
1_94_2012-11-02,60979.0943
1_95_2012-11-02,115691.56979999998
1_96_2012-11-02,33015.401399999995
1_97_2012-11-02,34306.195799999965
1_98_2012-11-02,13037.63619999999
1_99_2012-11-02,123.68020000000003
1_1_2012-11-09,23300.126100000005
1_2_2012-11-09,47300.72070000002
1_3_2012-11-09,11321.111599999995
1_4_2012-11-09,39436.8971
1_5_2012-11-09,28937.700899999993
1_6_2012-11-09,3636.6741999999995
1_7_2012-11-09,23415.366500000022
1_8_2012-11-09,37473.87529999999
1_9_2012-11-09,36296.76039999998
1_10_2012-11-09,32349.459399999996
1_11_2012-11-09,22746.523599999993
1_12_2012-11-09,10440.203100000006
1_13_2012-11-09,40856.193100000026
1_14_2012-11-09,13557.515500000001
1_16_2012-11-09,6484.5546
1_17_2012-11-09,8412.236499999997
1_18_2012-11-09,11915.780700000003
1_19_2012-11-09,1045.6999000000008
1_20_2012-11-09,3401.1885000000025
1_21_2012-11-09,8231.730499999998
1_22_2012-11-09,7487.383500000008
1_23_2012-11-09,21128.211000000007
1_24_2012-11-09,6618.264999999998
1_25_2012-11-09,9960.174299999991
